REFDES,Quantity,Description,Package,MPN,Mouser Part Number,Manufacturer,Value,Voltage,Stock,Price,Lifecycle,Product URL
"C1,C2,C5,C6,C7,C13,C23, C3,C4,C17",10,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16 V 0.1uF X7R 0402 10%,,CC0402KRX7R7BB104,603-CC402KRX7R7BB104,YAGEO,0.1uF,,58911923,$0.10,,https://www.mouser.com/ProductDetail/YAGEO/CC0402KRX7R7BB104?qs=AgBp2OyFlx%252BSOyhfyS7hpw%3D%3D
"C8,C9,C11,C12",4,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 10uF X5R 0805 10%,,C0805C106K8PACTU,80-C0805C106K8P,KEMET,10uF,,217557,$0.13,,https://www.mouser.com/ProductDetail/KEMET/C0805C106K8PACTU?qs=Zpyg6gQUYs39C21BeavaKA%3D%3D
"BT1,BT2",2,"Cylindrical Battery Contacts, Clips, Holders & Springs 16-19mm PC BATTERY CLIP",,54,534-54,Keystone Electronics,18650,,83603,$0.55,,https://www.mouser.com/ProductDetail/Keystone-Electronics/54?qs=73q%2FgRcW4F3NakoJDesViw%3D%3D
"H1,H2,H3,H4,H5",5,N/A - No part selected,,NA,NA,N/A,MountingHole,,0,,,
"R11,R13,R14,R16, R25",5,"Thick Film Resistors - SMD General Purpose Chip Resistor 0603, 4.7kOhms, 1%, 1/10W",,RC0603FR-074K7L,603-RC0603FR-074K7L,YAGEO,4.7k,,1211262,$0.10,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-074K7L?qs=gt6vzsuosg37y0l7Vt36bQ%3D%3D
U3,1,Supervisory Circuits Nanopower high-input voltage supervisor,,TPS3840PL27DBVR,595-TPS3840PL27DBVR,Texas Instruments,TPS3840PL27DBVR,,3326,$0.78,,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS3840PL27DBVR?qs=%252B6g0mu59x7IZ8NFr0TeOIQ%3D%3D
"R1,R4,R17,R19,R27",5,Thick Film Resistors - SMD 0603 100KOHMS 5% 1/10WATT,,CR0603-JW-104ELF,652-CR0603-JW-104ELF,Bourns,100k,,91389,$0.10,,https://www.mouser.com/ProductDetail/Bourns/CR0603-JW-104ELF?qs=wOX%252BDVkMoZSK2gq9cFrtRg%3D%3D
"R26,R28",2,Current Sense Resistors - SMD 1206 10mohm 1% Curr Sense AEC-Q200,,ERJ-8CWFR010V,667-ERJ-8CWFR010V,Panasonic,0.01,,14815,$0.41,,https://www.mouser.com/ProductDetail/Panasonic/ERJ-8CWFR010V?qs=tfZGHB2PWd38nKWyhvv7Lw%3D%3D
"R18,R21",2,Thick Film Resistors - SMD 0603 30K0 1%     Lead Free,,WR06X3002FTL,791-WR06X3002FTL,Walsin,30k,,954696,$0.11,,https://www.mouser.com/ProductDetail/Walsin/WR06X3002FTL?qs=1w%252B2sDiFrrH14LZ2M2l2bw%3D%3D
U8,1,Current Sense Amplifiers -4-V to 110-V 1.3-M Hz high-precision c A 595-INA281A4IDBVT,,INA281A4IDBVR,595-INA281A4IDBVR,Texas Instruments,INA281A4,,2952,$2.23,,https://www.mouser.com/ProductDetail/Texas-Instruments/INA281A4IDBVR?qs=bAKSY%2FctAC7dFlC3vmyeog%3D%3D
"NT1,NT2",2,N/A - No part selected,,NA,NA,N/A,NetTie_2,,0,,,
U4,1,Board Mount Temperature Sensors Digital Temp Sensor w/I2C Ser Interface A 595-TMP100NA/250,,TMP100NA/3K,595-TMP100NA/3K,Texas Instruments,TMP100,,27314,$1.93,,https://www.mouser.com/ProductDetail/Texas-Instruments/TMP100NA-3K?qs=RnzODY3cU8ttwUxnXA%252BgRQ%3D%3D
